OBJECTID,HWMID,HWM_TYPE,WTSHUNIT,WTSHNAME,UNIT_NO,CHAN_NAME,ROAD_NAME,STAGEGAGE,BM_NO,BM_DESC,BM_ELEV,ADJUST,SE10YR,SE50YR,SE100YR,SE500YR,LEGACY,FLD_DATE,CHK_DATE,BM_COND,HWM_ELEV,DISCLAIM,HWM_LOC,HWM_DESC,HWM_CONF,COMMENT,TEAM_MEM,PARTY_CHIEF,SRVY_CO,SRVY_DATE,POINT_X,POINT_Y,STATUS,SENSOR_PEAK_ELEV,TOP_PIPE_ELEV,HWI_ELEV,FINAL_HWM,GlobalID,CreationDate,Creator,EditDate,Editor,Water_Level_Change,HWM_VERIF,BMELEV_HISTORICAL,CSG_ELEVATION
13,D-0014,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,HOLCOMBE BLVD,,040100,"Floodplain Reference Mark Number 040100 is a
Brass Disk stamped D100 BM13 on bridge at
Holcombe Boulevard and Brays Bayou located
on north, downstream sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 43.315 Feet NAVD 1988, 2001 Adjusted.",43.32,-1.2,36.3,39.4,41.1,43.9,0,2019-09-19 19:18,2019-09-24 19:18,Correct,33.43,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Right bank at debris line in channel,Medium,,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 19:19,-95.39291728,29.70602672,Complete,,,,33.43,{5DA8B3D8-5218-4ECE-9CCA-6321014FF572},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:34,jeremy.justice9,9.89,,,
14,D-0015,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,S. BRAESWOOD BLVD.,,040105,"Floodplain Reference Mark Number 040105 is a
Brass Disk stamped D100 BM14 on bridge at
Braeswood Boulevard & Brays Bayou, S. of Holcombe Boulevard
located on downstream, E. sidewalk of bridge, at stream center
in the Brays Watershed near stream D100-00-00
ELEV. 43.679 Feet NAVD 1988, 2001 Adjusted.",43.68,-1.2,37.1,40,41.9,44.8,0,2019-09-19 18:52,2019-09-24 18:52,Correct,34.45,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Left Bank at debris line in channel,Medium,,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 18:53,-95.39625784,29.70345604,Complete,,,,34.45,{5C3779C6-7BBE-44BD-A2CC-64F666C01E02},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:34,jeremy.justice9,9.23,,,
15,D-0016,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,FANNIN,,040108,"Floodplain Reference Mark Number 040108 is a brass disk stamped RM 040108 at Fannin Street and Brays Bayou located on the downstream side of the bridge at the north end bridge abutment in Key Map 532 M in the Brays Bayou Watershed (D100-00-00). ELEV. 45.81 feet, NAVD 1988, 2001 Adjusted.",45.81,-1.3,38.4,41.2,43.3,46.6,0,2019-09-19 18:32,2019-09-24 18:32,Correct,36.58,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Left Bank at debris line in channel,Medium,,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 18:33,-95.40244759,29.70239149,Complete,,,,36.58,{DDF426B0-9709-4E0F-AA95-D9FBBEC3E6D5},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:34,jeremy.justice9,9.23,,,
16,D-0018,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,N. BRAESWOOD BLVD.,,040120,"Floodplain Reference Mark Number 040120 is a
Brass Disk stamped D100 0120D on bridge at
North Braeswood Boulevard and Brays Bayou located on downstream,
north sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 47.578 Feet NAVD 1988, 2001 Adjusted.",47.58,-1.4,40.2,42.4,44.9,48.6,0,2019-09-19 16:58,2019-09-24 16:58,Correct,38.56,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Right bank debris line in channel,Medium,,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 16:59,-95.41029084,29.69746343,Complete,,,,38.56,{B8F4AB3E-3DD8-49E8-B998-A46260290CD3},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:39,jeremy.justice9,9.02,,,
17,D-0019,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,SOUTH MAIN,420,040125,"Floodplain Reference Mark Number 040125 is a
Brass Disk stamped D100 D-9A on bridge at
Main Street and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 46.525 Feet NAVD 1988, 2001 Adjusted.",46.53,-1.4,41,43.1,45.7,50,0,2019-09-19 17:28,2019-09-24 17:28,Correct,39.22,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,Left bank debris line in channel,Medium,HWI tape 10.57. Final HWM using HWI peak,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 17:29,-95.41210771,29.6973349,Complete,39.17,49.8,39.23,39.23,{42C85C69-A180-4793-90D0-ADC756ED577B},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:42,jeremy.justice9,7.31,,,
18,D-0020,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,S. BRAESWOOD,,040128,"Floodplain Reference Mark Number 040128 is a Brass DISK with no Stamping on bridge at Braeswood Blvd. at Brays Bayou, on downstream,middleof northbound lane, in KeyMap 532L in the Brays Watershed on stream D100-00-00 ELEV. 49.86 Feet NAVD 1988, 2001 Adjusted.  For More Information visit web-site https://www.harriscountyfrm.org/",49.86,-1.3,41.4,43.7,46.6,50.1,0,2019-09-19 16:10,2019-09-24 16:10,Correct,39.55,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Left Bank near guardrail,Medium,,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 16:12,-95.41570593,29.69786868,Complete,,,,39.55,{5822A4E4-7099-4340-87F8-9270058E1589},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:42,jeremy.justice9,10.31,,,
19,D-0021,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,KIRBY,,040130,"Floodplain Reference Mark Number 040130 is a
Brass Disk stamped D100 BM17 on birdge at
Kirby Drive N-bound and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 44.301 Feet NAVD 1988, 2001 Adjusted.",44.3,-1.3,42.1,44.3,47.1,50.7,0,2019-09-19 15:17,2019-09-24 15:17,Correct,39.7,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Right bank lad in the ground,Medium,Debris line on channel bank,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 15:20,-95.41802671,29.69740744,Complete,,,,39.7,{C844FC02-4070-43AF-B5F9-54F4E60B5BBF},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:43,jeremy.justice9,4.6,,,
20,D-0022,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,BUFFALO SPEEDWAY,,040135,"Floodplain Reference Mark Number 040135 is a
Brass Disk stamped D100 BM18 on birdge at
Buffalo Speedway N-bound and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 49.479 Feet NAVD 1988, 2001 Adjusted.",49.48,-1.3,43.7,46.1,48.4,51.1,0,2019-09-19 14:37,2019-09-24 14:38,Correct,41.97,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Seed line on right bank,Medium,,R. Velasco and R. Zucker,RV,HCFCD,2019-09-24 14:39,-95.42695636,29.69588015,Complete,,,,41.97,{EF086CDC-7CFD-44E1-A68D-1EA6673FE6C0},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:43,jeremy.justice9,7.51,,,
21,D-0023,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,STELLA LINK,430,040145,"Floodplain Reference Mark Number 040145 is a
Brass Disk stamped D100 BM19 on bridge at
Stella Link Road N-bound and Brays Bayou located on downstream,
east sidewalk of northbound bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 49.554 Feet NAVD 1988, 2001 Adjusted.",49.55,-1.7,45.5,47.5,49.6,51.8,0,2019-09-19 20:34,2019-09-23 20:34,Correct,44.7,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,seed line on bridge concrete between upstream and downstream bridges,Medium,Sensor failed during event. hwi pipe has some sway to it. higher trust in hwm than hwi. ,mm rv,mm,hcfcd,2019-09-23 20:35,-95.4400687,29.69074946,Complete,33.41,50.67,44.21,44.7,{B2D65B17-C539-4E54-8E70-CDD76BDE78E1},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:43,jeremy.justice9,4.85,,,
22,D-0024,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,SPRR,,040148,"Floodplain Reference Mark Number 040148 is a BRASS DISK Stamped BM-4 WEISSER RM 040148 at the east railroad track on South Braeswood, located on the concrete deck at the stream centerline in the Brays Bayou Watershednear streamD100-00-00 ELEV. 53.36 Feet NAVD 1988, 2001 Adjusted.  For more information visit web-site www.eng.hctx.net/permits.htm.",53.36,-1.7,47.2,49.5,51.3,52.6,0,2019-09-19 22:01,2019-09-23 22:01,Correct,45.17,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris line on concrete path on left bank,Medium,No lines near bridge found. Needed to go fairly down stream. ,mm rv,mm,hcfcd,2019-09-23 22:04,-95.4470096,29.68740863,Complete,,,,45.17,{8D5B3450-DA61-49BC-858F-5A7C05691903},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 14:44,jeremy.justice9,8.19,,,
23,D-0025,BRIDGE,D,BRAYS BAYOU,D112-00-00,WILLOW WATER HOLE,D112 @ WILLOWBEND,435,040350,"Floodplain Reference Mark Number 040350 is a
Brass Disk stamped D112 0350D on bridge at
Willowbend Boulevard W-bound and D112-00-00 located on
downstream, north sidewalk of westbound bridge, at stream centerline
in the Brays Watershed near stream D112-00-00
ELEV. 51.69 Feet NAVD 1988, 2001 Adjusted.",51.69,-2,47.2,49.8,50.7,52.9,0,2019-09-19 13:16,2019-09-25 13:16,Correct,46.95,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,"Upstream, Left Bank, Center median. seed line, orange spray paint",High,HWI tape down 7.89,"R Velasco, F Baez",F Baez,,2019-09-25 13:19,-95.46025178,29.66435157,Complete,46.52,54.62,46.73,46.95,{B04C9F26-7F6A-4548-B1FF-3A35B3DBE8EC},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:04,jeremy.justice9,4.74,,,
24,D-0026,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,SOUTH POST OAK,,040155,"Floodplain Reference Mark Number 040155 is a
Brass Disk stamped V 1182 1963 on bridge at
South Post Oak Road and and Brays Bayou located on upstream,
sidewalk, on southwest corner of bridge
in the Brays Watershed near stream D100-00-00
ELEV. 50.45 Feet NAVD 1988, 2001 Adjusted.",50.45,-2.1,49.9,52.1,53.6,55,0,2019-09-19 22:33,2019-09-23 22:34,Correct,47.56,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,Seed line on upstream pillar,High,,mm rv,mm,hcfcd,2019-09-23 22:34,-95.4586221,29.68141254,Complete,,,,47.56,{E0C84D08-3174-4798-9DC0-8DF9F9BD5D74},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:05,jeremy.justice9,2.89,,,
25,D-0027,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,RICE BLVD,440,040160,"Floodplain Reference Mark Number 040160 is a
Brass Disk stamped D100 BM20 on bridge at
South Rice Avenue and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 53.814 Feet NAVD 1988, 2001 Adjusted.",53.81,-2,50.8,52.9,54.3,55.7,0,2019-09-19 23:21,2019-09-23 23:22,Correct,48.5,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,down stream debris line on right bank,Medium,significant difference from sensor reading. Using HWM elevation,mm rv,mm,hcfcd,2019-09-23 23:22,-95.46758789,29.67877967,Complete,47.49,56.13,48.26,48.5,{F2283E94-4FD4-437B-897C-05F7895AB510},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:10,jeremy.justice9,5.31,,,
26,D-0028,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,CHIMNEY ROCK,,040165,"Floodplain Reference Mark Number 040165 is a
Brass Disk stamped D100 K6 on bridge at
Chimney Rock Road and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 54.053 Feet NAVD 1988, 2001 Adjusted.",54.05,-2.1,52.4,54.6,55.5,56.8,0,2019-09-19 14:22,2019-09-25 14:22,Correct,48.19,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on right bank downstream ,Medium,,"R. Velasco, F Baez",F Baez,,2019-09-25 14:25,-95.4763569,29.67752146,Complete,,,,48.19,{6DD57945-4261-4F08-909A-3DCDE05B271C},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:10,jeremy.justice9,5.86,,,
27,D-0029,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,HILLCROFT,,040170,"Floodplain Reference Mark Number 040170 is a
Brass Disk stamped D100 BM21 on bridge at
Hillcroft Avenue and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 59.781 Feet NAVD 1988, 2001 Adjusted.",59.78,-2.2,55.1,57.2,57.4,58.7,0,2019-09-19 15:15,2019-09-25 15:15,Correct,51.92,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,downstream right bank on concrete colum structure,Medium,,"R Velasco, F Baez",F Baez,,2019-09-25 15:17,-95.49316412,29.67824052,Complete,,,,51.92,{24F47ED3-B9DF-437A-B4D9-6B85D9E3E43B},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:10,jeremy.justice9,7.86,,,
28,D-0030,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,N. BRAESWOOD,,040175,"Floodplain Reference Mark Number 040175 is a
Brass Disk stamped D100 0175D on bridge at
North Braeswood Blvd NE-boudn and Brays Bayou located on downstream,
east sidewalk of northeast bound bridge, N. of stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 58.371 Feet NAVD 1988, 2001 Adjusted.",58.37,-2.2,56.2,58.7,59.1,60.5,0,2019-09-19 15:27,2019-09-25 15:27,Correct,53.05,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,"right bank, erosion line past concrete slope",Medium,,"R Velasco, F Baez",F Baez,,2019-09-25 15:29,-95.49876634,29.67809883,Complete,,,,53.05,{810C6882-BC9D-4750-8AE4-3DD04DFFD6C8},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:10,jeremy.justice9,5.32,,,
29,D-0031,BRIDGE,D,BRAYS BAYOU,D100-00-00,BRAYS BAYOU,FONDREN,,040180,"Floodplain Reference Mark Number 040180 is a
Brass Disk stamped D100 0180D on bridge at
Fondren Road and and Brays Bayou located on downstream,
east sidewalk of bridge, at stream centerline
in the Brays Watershed near stream D100-00-00
ELEV. 59.284 Feet NAVD 1988, 2001 Adjusted.",59.28,-2.4,58.5,61.1,61.5,62.7,0,2019-09-19 15:40,2019-09-25 15:40,Correct,53.18,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,"right bank, front of concrete slope, debris line",Medium,,"R Velasco, F Baez",F Baez,,2019-09-25 15:41,-95.50864233,29.67621893,Complete,,,,53.18,{4A3D0EE9-4819-4729-B490-95393487E127},2019-09-23 14:29,HCFCDGISADMIN,2019-09-26 15:11,jeremy.justice9,6.1,,,
